site,headline,link
https://www.politico.com/,Bridge warning systems have been recommended for decades. The Key Bridge didn’t have one.,https://www.politico.com/news/2024/03/30/bridge-warning-systems-00149817
https://www.npr.org/,"From longshoremen to charter boats, Baltimore's port closure means lost work",https://www.politico.com/news/2024/03/30/bridge-warning-systems-00149817
